Date,Weight,CalorieMaintenanceLevel,RestDayFat,RestDayCarbs,RestDayProtein,RestDayCalories,TrainingDayFat,TrainingDayCarbs,TrainingDayProtein,TrainingDayCalories
1/6/2020,134.2,2170.5,72.2,263.4,154.3,2320.5,65.3,366.4,154.3,2670.5
1/20/2020,136.6,2185.5,72.7,263.2,157.1,2335.5,65.6,366.7,157.1,2685.5
1/27/2020,136.6,2185.5,72.7,263.2,157.1,2335.5,65.6,366.7,157.1,2685.5
2/3/2020,136.6,2185.5,72.7,263.2,157.1,2335.5,65.6,366.7,157.1,2685.5
2/10/2020,136.6,2185.5,72.7,263.2,157.1,2335.5,65.6,366.7,157.1,2685.5
2/18/2020,136.6,2185.5,72.7,263.2,157.1,2335.5,65.6,366.7,157.1,2685.5
3/3/2020,136.6,2185.5,72.7,263.2,157.1,2335.5,65.6,366.7,157.1,2685.5
3/9/2020,136.6,2185.5,72.7,263.2,157.1,2335.5,65.6,366.7,157.1,2685.5
8/3/2020,131.6,2154.3,71.7,263.5,151.3,2304.3,64.9,366.2,151.3,2654.3
8/11/2020,131.6,2154.3,71.7,263.5,151.3,2304.3,64.9,366.2,151.3,2654.3
8/17/2020,132.8,2161.8,71.9,263.5,152.7,2311.8,65.1,366.3,152.7,2661.8
8/24/2020,132.8,2161.8,71.9,263.5,152.7,2311.8,65.1,366.3,152.7,2661.8
8/31/2020,133.8,2168,72.1,263.4,153.9,2318,65.2,366.4,153.9,2668
9/8/2020,135.2,2176.8,72.4,263.3,155.5,2326.8,65.4,366.6,155.5,2676.8
9/21/2020,136.4,2184.3,72.6,263.3,156.9,2334.3,65.6,366.6,156.9,2684.3
9/29/2020,137.8,2193,72.9,263.2,158.5,2343,65.8,366.7,158.5,2693
10/26/2020,137,2188,72.7,263.3,157.6,2338,65.7,366.6,157.6,2688
11/2/2020,135.6,2179.3,72.5,263.3,155.9,2329.3,65.5,366.6,155.9,2679.3
11/9/2020,137,2188,72.7,263.3,157.6,2338,65.7,366.6,157.6,2688
11/16/2020,138,2194.2,72.9,263.3,158.7,2344.2,65.9,366.6,158.7,2694.2
11/30/2020,139.4,2203,73.2,263.2,160.3,2353,66.1,366.7,160.3,2703
12/10/2020,140.8,2211.7,73.5,263.1,161.9,2361.7,66.3,366.8,161.9,2711.7
12/28/2020,138.2,2195.5,73,263.2,158.9,2345.5,65.9,366.7,158.9,2695.5
