Date,DayType,DayOfWeek,TotalFat,TargetFat,TotalCarbs,TargetCarbs,TotalProtein,TargetProtein,TotalCalories,TargetCalories
8/28/2020,Rest,Friday,93.7,71.9,234.7,263.5,101.9,152.7,2189.7,2311.8
8/29/2020,Training,Saturday,112.9,65.1,384.9,366.3,184.7,152.7,3294.5,2661.8
8/30/2020,Rest,Sunday,57.9,71.9,243.3,263.5,91.9,152.7,1861.9,2311.8
8/31/2020,Rest,Monday,53.6,72.1,180.4,263.4,102.2,153.9,1612.8,2318
9/1/2020,Training,Tuesday,77.4,65.2,181,366.4,88.3,153.9,1773.8,2668
9/2/2020,Rest,Wednesday,74.7,72.1,218.7,263.4,153.8,153.9,2162.3,2318
9/3/2020,Training,Thursday,59.7,65.2,198.8,366.4,155.4,153.9,1954.1,2668
9/7/2020,Rest,Monday,18.9,72.1,111.9,263.4,56.9,153.9,845.3,2318
9/8/2020,Training,Tuesday,75.6,65.4,218.3,366.6,175.6,155.5,2256,2676.8
9/9/2020,Rest,Wednesday,80.4,72.4,271,263.3,96.3,155.5,2192.8,2326.8
9/10/2020,Training,Thursday,68,65.4,236,366.6,121.3,155.5,2041.2,2676.8
9/21/2020,Rest,Monday,37.5,72.6,99.4,263.3,85.2,156.9,1075.9,2334.3
