Date,DayType,DayOfWeek,TotalFat,TargetFat,TotalCarbs,TargetCarbs,TotalProtein,TargetProtein,TotalCalories,TargetCalories
6/2/2019,Rest,Sunday,49.4,72,128.4,263.4,57.5,153.2,1188.2,2314.3
6/3/2019,Training,Monday,87.7,64.7,215.7,366.1,143.2,149.7,2224.9,2645.6
6/4/2019,Rest,Tuesday,83.1,71.4,178.5,263.6,150.3,149.7,2063.1,2295.6
6/5/2019,Rest,Wednesday,45.6,71.4,243.6,263.6,86,149.7,1728.8,2295.6
6/6/2019,Training,Thursday,83.6,64.7,190.3,366.1,174.5,149.7,2211.6,2645.6
6/7/2019,Rest,Friday,87,71.4,104.5,263.6,201,149.7,2005,2295.6
6/8/2019,Training,Saturday,59.5,64.7,291.7,366.1,115.3,149.7,2163.5,2645.6
6/9/2019,Rest,Sunday,73.5,71.4,306.9,263.6,119.3,149.7,2366.3,2295.6
6/10/2019,Training,Monday,85.4,64.7,285.9,366.1,156.2,149.7,2537,2645.6
6/11/2019,Rest,Tuesday,76.7,71.4,250.4,263.6,111.2,149.7,2136.7,2295.6
6/12/2019,Rest,Wednesday,89.7,71.4,243.8,263.6,127.5,149.7,2292.5,2295.6
6/13/2019,Training,Thursday,120.1,64.7,320,366.1,148.3,149.7,2954.1,2645.6
6/17/2019,Rest,Monday,73.6,72,249.8,263.4,149.6,152.9,2260,2313.1
6/18/2019,Rest,Tuesday,55.3,72,68.5,263.4,110.3,152.9,1212.9,2313.1
6/19/2019,Rest,Wednesday,71.5,72,197.7,263.4,89.6,152.9,1792.7,2313.1
6/20/2019,Rest,Thursday,78.5,72,291.3,263.4,147.1,152.9,2460.1,2313.1
7/1/2019,Training,Monday,45.1,64.5,212.3,366.1,154.1,148.6,1871.5,2639.4
7/2/2019,Rest,Tuesday,76.4,71.7,208.5,263.4,107.8,151.1,1952.8,2303.1
7/3/2019,Rest,Wednesday,106,71.7,307.3,263.4,147.8,151.1,2774.4,2303.1
7/4/2019,Training,Thursday,89.8,64.9,299.3,366.2,158.5,151.1,2639.4,2653.1
7/5/2019,Rest,Friday,80.3,71.7,241.9,263.4,81,151.1,2014.3,2303.1
7/6/2019,Training,Saturday,64.5,64.9,208.4,366.2,113.6,151.1,1868.5,2653.1
7/7/2019,Rest,Sunday,103,71.7,317.5,263.4,109.5,151.1,2635,2303.1
7/8/2019,Training,Monday,76.8,64.9,318.6,366.2,135.5,151.1,2507.6,2653.1
7/9/2019,Rest,Tuesday,118.8,71.9,339.4,263.5,161.3,152.7,3072,2311.8
7/10/2019,Rest,Wednesday,102.4,71.9,233,263.5,122.3,152.7,2342.8,2311.8
7/11/2019,Training,Thursday,100.2,65.1,395.6,366.3,166.9,152.7,3151.8,2661.8
7/12/2019,Rest,Friday,115.5,71.9,190.2,263.5,108.5,152.7,2234.3,2311.8
7/13/2019,Rest,Saturday,76.5,71.9,216,263.5,138.5,152.7,2106.5,2311.8
7/15/2019,Rest,Monday,115.2,71.6,210.8,263.5,182.1,150.9,2608.4,2301.8
7/16/2019,Training,Tuesday,112.2,64.8,223.4,366.2,188,150.9,2655.4,2651.8
7/17/2019,Rest,Wednesday,81.3,71.6,276,263.5,156.1,150.9,2460.1,2301.8
7/18/2019,Training,Thursday,84.7,64.8,239.4,366.2,160.8,150.9,2363.1,2651.8
7/22/2019,Rest,Monday,33.7,71.6,306.5,263.5,101.8,150.9,1936.5,2301.8
7/23/2019,Training,Tuesday,88.6,64.8,336.3,366.2,165.4,150.9,2804.2,2651.8
7/24/2019,Rest,Wednesday,92.8,71.6,213.5,263.5,167.8,150.9,2360.4,2301.8
7/25/2019,Rest,Thursday,114.1,71.6,160.2,263.5,183.6,150.9,2402.1,2301.8
7/26/2019,Training,Friday,99.5,64.8,200.9,366.2,131.7,150.9,2225.9,2651.8
7/29/2019,Training,Monday,96.1,65.2,314.8,366.4,174.5,153.6,2822.1,2666.8
7/30/2019,Rest,Tuesday,57.7,72.1,248.8,263.4,125.2,153.6,2015.3,2316.8
7/31/2019,Rest,Wednesday,98.6,72.1,255.8,263.4,112,153.6,2358.6,2316.8
8/1/2019,Training,Thursday,155.3,65.2,265.8,366.4,172.8,153.6,3152.1,2666.8
8/2/2019,Rest,Friday,142,72.1,158,263.4,116,153.6,2374,2316.8
8/3/2019,Rest,Saturday,108.1,72.1,198,263.4,125.7,153.6,2267.7,2316.8
8/4/2019,Training,Sunday,133.5,65.2,221.2,366.4,140.9,153.6,2649.9,2666.8
8/5/2019,Rest,Monday,99.9,72.1,150.9,263.4,129.2,153.6,2019.5,2316.8
8/20/2019,Training,Tuesday,61.4,64.9,137.8,366.4,182.9,151.8,1835.4,2656.8
8/21/2019,Rest,Wednesday,113.5,71.8,216.5,263.4,126.5,151.8,2393.5,2306.8
8/22/2019,Rest,Thursday,84.9,71.8,302.3,263.4,113.8,151.8,2428.5,2306.8
8/23/2019,Training,Friday,91.6,64.9,217.9,366.4,135.8,151.8,2239.2,2656.8
8/24/2019,Rest,Saturday,48.4,71.8,202,263.4,101.8,151.8,1650.8,2306.8
8/25/2019,Rest,Sunday,62.8,71.8,180.7,263.4,104.8,151.8,1707.2,2306.8
8/26/2019,Training,Monday,43.2,64.9,251.4,366.4,157.7,151.8,2025.2,2656.8
8/27/2019,Rest,Tuesday,70.5,72,119.4,263.5,156.4,153.4,1737.7,2315.5
8/28/2019,Rest,Wednesday,107.7,72,180.4,263.5,127,153.4,2198.9,2315.5
8/29/2019,Rest,Thursday,85.4,72,284.4,263.5,146.9,153.4,2493.8,2315.5
8/30/2019,Rest,Friday,89.2,72,220.8,263.5,101.5,153.4,2092,2315.5
8/31/2019,Training,Saturday,94.6,65.2,333.2,366.3,122.1,153.4,2672.6,2665.5
9/1/2019,Rest,Sunday,96,72,266.5,263.5,76,153.4,2234,2315.5
9/2/2019,Training,Monday,68.2,65.2,212.4,366.3,122.9,153.4,1955,2665.5
