Date,DayType,DayOfWeek,TotalFat,TargetFat,TotalCarbs,TargetCarbs,TotalProtein,TargetProtein,TotalCalories,TargetCalories
9/3/2019,Rest,Tuesday,66.6,72,242.6,263.5,118.1,153.4,2042.2,2315.5
9/4/2019,Training,Wednesday,128,65.2,294.9,366.3,170.2,153.4,3012.4,2665.5
9/5/2019,Rest,Thursday,121.6,72,242.3,263.5,136.2,153.4,2608.4,2315.5
9/6/2019,Rest,Friday,80.3,72,307,263.5,98.7,153.4,2345.5,2315.5
9/7/2019,Training,Saturday,86.2,65.2,290.6,366.3,156.4,153.4,2563.8,2665.5
9/8/2019,Rest,Sunday,90.3,72,248.7,263.5,87.4,153.4,2157.1,2315.5
9/9/2019,Rest,Monday,156.5,72,262,263.5,144.4,153.4,3034.1,2315.5
9/10/2019,Training,Tuesday,104.4,65.2,295.3,366.3,139,153.4,2676.8,2665.5
9/11/2019,Rest,Wednesday,88.1,72,164,263.5,239.4,153.4,2406.5,2315.5
9/12/2019,Training,Thursday,69.9,65.2,162.8,366.3,103.8,153.4,1695.5,2665.5
9/13/2019,Rest,Friday,69.8,72,266,263.5,79.8,153.4,2011.4,2315.5
9/14/2019,Rest,Saturday,151,72,266,263.5,107.9,153.4,2854.6,2315.5
9/15/2019,Training,Sunday,80,65.2,285.7,366.3,131.5,153.4,2388.8,2665.5
9/16/2019,Rest,Monday,96.2,72.3,309.5,263.4,125.5,155,2605.8,2324.3
9/17/2019,Training,Tuesday,93,65.4,209.8,366.4,178.6,155,2390.6,2674.3
9/18/2019,Rest,Wednesday,116.6,72.3,262,263.4,114.5,155,2555.4,2324.3
9/19/2019,Training,Thursday,38,65.4,213.3,366.4,136.1,155,1739.6,2674.3
9/20/2019,Rest,Friday,96,72.3,279,263.4,124,155,2476,2324.3
9/21/2019,Training,Saturday,116.9,65.4,354.6,366.4,93.8,155,2845.7,2674.3
9/22/2019,Rest,Sunday,125.9,72.3,372.7,263.4,116.2,155,3088.7,2324.3
9/23/2019,Training,Monday,87.2,65.5,131.2,366.5,188.2,156.2,2062.4,2680.5
9/24/2019,Rest,Tuesday,95,72.5,277.3,263.3,144.7,156.2,2543,2330.5
9/25/2019,Training,Wednesday,129.8,65.5,346.9,366.5,183.7,156.2,3290.6,2680.5
9/26/2019,Rest,Thursday,116.3,72.5,350.5,263.3,122.7,156.2,2939.5,2330.5
9/27/2019,Rest,Friday,105.7,72.5,510.2,263.3,112.8,156.2,3443.3,2330.5
9/28/2019,Training,Saturday,94.8,65.5,351.4,366.5,126.1,156.2,2763.2,2680.5
9/29/2019,Rest,Sunday,44.5,72.5,226.7,263.3,105.5,156.2,1729.3,2330.5
9/30/2019,Training,Monday,113.5,65.7,238.2,366.6,149.7,157.6,2573.1,2688
10/1/2019,Rest,Tuesday,66.6,72.7,177.8,263.3,113.5,157.6,1764.6,2338
10/2/2019,Training,Wednesday,124,65.7,304.5,366.6,202.8,157.6,3145.2,2688
10/3/2019,Rest,Thursday,45.4,72.7,257.7,263.3,99.3,157.6,1836.6,2338
10/4/2019,Rest,Friday,102,72.7,446.2,263.3,126.9,157.6,3210.4,2338
10/5/2019,Rest,Saturday,51.5,72.7,278.7,263.3,67,157.6,1846.3,2338
10/6/2019,Rest,Sunday,86.1,72.7,281.8,263.3,128.5,157.6,2416.1,2338
10/7/2019,Training,Monday,68.1,65.7,258.7,366.6,133.9,157.6,2183.3,2688
10/8/2019,Rest,Tuesday,101.2,72.7,256.5,263.3,109.3,157.6,2374,2338
10/9/2019,Training,Wednesday,103.8,65.7,354.9,366.6,138.9,157.6,2909.4,2688
10/10/2019,Rest,Thursday,101.2,72.7,367.7,263.3,129.3,157.6,2898.8,2338
10/11/2019,Rest,Friday,95,72.7,412.8,263.3,81.4,157.6,2831.8,2338
10/12/2019,Training,Saturday,86.9,65.7,231.4,366.6,83.6,157.6,2042.1,2688
10/13/2019,Rest,Sunday,114.3,72.7,305,263.3,113.9,157.6,2704.3,2338
10/14/2019,Training,Monday,98.9,65.8,278.9,366.7,131.4,158.5,2531.3,2693
10/15/2019,Rest,Tuesday,106.8,72.9,213.8,263.2,159.3,158.5,2453.6,2343
10/16/2019,Training,Wednesday,41,65.8,275,366.7,121.5,158.5,1955,2693
10/17/2019,Rest,Thursday,66.2,72.9,298.8,263.2,152.2,158.5,2399.8,2343
10/18/2019,Rest,Friday,111.8,72.9,492.3,263.2,71.4,158.5,3261,2343
10/19/2019,Rest,Saturday,70,72.9,265,263.2,91,158.5,2054,2343
10/20/2019,Training,Sunday,29.1,65.8,276.9,366.7,101.3,158.5,1774.7,2693
10/21/2019,Rest,Monday,101.3,72.9,304.9,263.2,139.7,158.5,2690.1,2343
10/22/2019,Rest,Tuesday,132.9,72.9,318.6,263.2,123.8,158.5,2965.7,2343
10/23/2019,Training,Wednesday,126.8,65.8,300.2,366.7,163.9,158.5,2997.6,2693
10/27/2019,Training,Sunday,108.2,65.8,297.4,366.7,140.9,158.5,2727,2693
10/28/2019,Rest,Monday,68.3,72.9,277.5,263.2,147.8,158.5,2315.9,2343
10/29/2019,Training,Tuesday,115,65.8,317.2,366.7,201.6,158.5,3110.2,2693
11/4/2019,Training,Monday,59.1,65.8,196.2,366.7,151.6,158.5,1923.1,2693
11/5/2019,Rest,Tuesday,141.3,72.9,285,263.2,225.9,158.5,3315.3,2343
11/6/2019,Training,Wednesday,139.7,65.8,372.6,366.7,157.8,158.5,3378.9,2693
11/7/2019,Rest,Thursday,98.9,72.9,137.5,263.2,142,158.5,2008.1,2343
11/8/2019,Rest,Friday,62.5,72.9,159.7,263.2,105,158.5,1621.3,2343
11/9/2019,Training,Saturday,71,65.8,259.5,366.7,75.2,158.5,1977.8,2693
11/10/2019,Rest,Sunday,76.4,72.9,216,263.2,96,158.5,1935.6,2343
11/11/2019,Training,Monday,68.3,65.8,247.1,366.7,138.5,158.5,2157.1,2693
11/12/2019,Rest,Tuesday,64,72.9,298.1,263.2,116.9,158.5,2236,2343
12/2/2019,Rest,Monday,84.5,72.5,133,263.3,153.1,156.2,1904.9,2330.5
12/3/2019,Training,Tuesday,80.6,65.5,137.4,366.5,228,156.2,2187,2680.5
12/4/2019,Rest,Wednesday,77.2,72.5,246,263.3,106,156.2,2102.8,2330.5
12/5/2019,Rest,Thursday,97.5,72.5,190,263.3,116.8,156.2,2104.7,2330.5
12/9/2019,Training,Monday,110.4,65.5,375,366.5,136.4,156.2,3039.2,2680.5
12/10/2019,Rest,Tuesday,107.7,72.5,222.3,263.3,146.6,156.2,2444.9,2330.5
12/11/2019,Rest,Wednesday,102.4,72.5,269,263.3,125.3,156.2,2498.8,2330.5
12/12/2019,Training,Thursday,87.4,65.5,203.4,366.5,154.2,156.2,2217,2680.5
12/13/2019,Rest,Friday,92.5,72.5,218,263.3,112.8,156.2,2155.7,2330.5
12/16/2019,Rest,Monday,93.7,72.5,297.8,263.3,147.5,156.2,2624.5,2330.5
12/28/2019,Rest,Saturday,62,72.5,218.3,263.3,138.8,156.2,1986.4,2330.5
12/29/2019,Training,Sunday,100.1,65.5,362.9,366.5,141.1,156.2,2916.9,2680.5
12/30/2019,Rest,Monday,86.4,72.5,212,263.3,197.6,156.2,2416,2330.5
12/31/2019,Rest,Tuesday,106.8,72.5,365.4,263.3,210.8,156.2,3266,2330.5
